type of ownership,Column2,,,,,Revenue,,,job location,,,job_title_sim,,,seniority,,,degree,,,size,
Other,9999,,-1,9999,,small,1,,AL,1,25,analyst,1,,jr,1,,not requiried,9999,,small,1
Government,1,,Accounting & Legal,1,,mid,2,,AZ,2,18,data engineer,2,,sr,2,,M,1,,mid,2
Hospital,2,,Aerospace & Defense,2,,large,3,,CA,3,8,data scientist,3,,na,9999,,P,2,,large,3
Nonprofit,3,,Agriculture & Forestry,3,,na,9999,,CO,4,36,director,4,,,,,,,,na,9999
Private,4,,"Arts, Entertainment & Recreation",4,,,,,CT,5,26,manager,5,,,,,,,,,
Public,5,,Biotech & Pharmaceuticals,5,,,,,DC,6,33,mle,6,,,,,,,,,
School,6,,Business Services,6,,,,,DE,7,18,others,9999,,,,,,,,,
Subsidiary,7,,"Construction, Repair & Maintenance",7,,,,,FL,8,3,,,,,,,,,,,
,,,Consumer Services,8,,,,,GA,9,26,,,,,,,,,,,
,,,Education,9,,,,,IA,10,26,,,,,,,,,,,
,,,Finance,10,,,,,ID,11,3,,,,,,,,,,,
,,,Government,11,,,,,IL,12,35,,,,,,,,,,,
,,,Health Care,12,,,,,IN,13,33,,,,,,,,,,,
,,,Information Technology,13,,,,,KS,14,36,,,,,,,,,,,
,,,Insurance,14,,,,,KY,15,17,,,,,,,,,,,
,,,Manufacturing,15,,,,,LA,16,24,,,,,,,,,,,
,,,Media,16,,,,,MA,17,17,,,,,,,,,,,
,,,Mining & Metals,17,,,,,MD,18,3,,,,,,,,,,,
,,,Non-Profit,18,,,,,MI,19,3,,,,,,,,,,,
,,,"Oil, Gas, Energy & Utilities",19,,,,,MN,20,4,,,,,,,,,,,
,,,Real Estate,20,,,,,MO,21,36,,,,,,,,,,,
,,,Retail,21,,,,,NC,22,33,,,,,,,,,,,
,,,Telecommunications,22,,,,,NE,23,12,,,,,,,,,,,
,,,Transportation & Logistics,23,,,,,NJ,24,15,,,,,,,,,,,
,,,Travel & Tourism,24,,,,,NM,25,35,,,,,,,,,,,
,,,,,,,,,NY,26,17,,,,,,,,,,,
,,,,,,,,,OH,27,28,,,,,,,,,,,
,,,,,,,,,OR,28,17,,,,,,,,,,,
,,,,,,,,,PA,29,5,,,,,,,,,,,
,,,,,,,,,RI,30,8,,,,,,,,,,,
,,,,,,,,,SC,31,36,,,,,,,,,,,
,,,,,,,,,TN,32,19,,,,,,,,,,,
,,,,,,,,,TX,33,17,,,,,,,,,,,
,,,,,,,,,UT,34,3,,,,,,,,,,,
,,,,,,,,,VA,35,17,,,,,,,,,,,
,,,,,,,,,WA,36,3,,,,,,,,,,,
,,,,,,,,,WI,37,3,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,26,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,24,,,,,,,,,,,
,,,,,,,,,,,12,,,,,,,,,,,
,,,,,,,,,,,6,,,,,,,,,,,
,,,,,,,,,,,36,,,,,,,,,,,
,,,,,,,,,,,4,,,,,,,,,,,
,,,,,,,,,,,27,,,,,,,,,,,
,,,,,,,,,,,12,,,,,,,,,,,
,,,,,,,,,,,8,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,,,,26,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,25,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,21,,,,,,,,,,,
,,,,,,,,,,,18,,,,,,,,,,,
,,,,,,,,,,,33,,,,,,,,,,,
,,,,,,,,,,,27,,,,,,,,,,,
,,,,,,,,,,,26,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,36,,,,,,,,,,,
,,,,,,,,,,,29,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,9,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,29,,,,,,,,,,,
,,,,,,,,,,,36,,,,,,,,,,,
,,,,,,,,,,,13,,,,,,,,,,,
,,,,,,,,,,,12,,,,,,,,,,,
,,,,,,,,,,,21,,,,,,,,,,,
,,,,,,,,,,,35,,,,,,,,,,,
,,,,,,,,,,,29,,,,,,,,,,,
,,,,,,,,,,,36,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,35,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,29,,,,,,,,,,,
,,,,,,,,,,,18,,,,,,,,,,,
,,,,,,,,,,,12,,,,,,,,,,,
,,,,,,,,,,,35,,,,,,,,,,,
,,,,,,,,,,,36,,,,,,,,,,,
,,,,,,,,,,,33,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,8,,,,,,,,,,,
,,,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,,,,16,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,9,,,,,,,,,,,
,,,,,,,,,,,18,,,,,,,,,,,
,,,,,,,,,,,18,,,,,,,,,,,
,,,,,,,,,,,18,,,,,,,,,,,
,,,,,,,,,,,35,,,,,,,,,,,
,,,,,,,,,,,35,,,,,,,,,,,
,,,,,,,,,,,37,,,,,,,,,,,
,,,,,,,,,,,18,,,,,,,,,,,
,,,,,,,,,,,26,,,,,,,,,,,
,,,,,,,,,,,26,,,,,,,,,,,
,,,,,,,,,,,33,,,,,,,,,,,
,,,,,,,,,,,6,,,,,,,,,,,
,,,,,,,,,,,22,,,,,,,,,,,
,,,,,,,,,,,19,,,,,,,,,,,
,,,,,,,,,,,24,,,,,,,,,,,
,,,,,,,,,,,2,,,,,,,,,,,
,,,,,,,,,,,23,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,24,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,26,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,13,,,,,,,,,,,
,,,,,,,,,,,18,,,,,,,,,,,
,,,,,,,,,,,20,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,22,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,27,,,,,,,,,,,
,,,,,,,,,,,6,,,,,,,,,,,
,,,,,,,,,,,12,,,,,,,,,,,
,,,,,,,,,,,18,,,,,,,,,,,
,,,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,21,,,,,,,,,,,
,,,,,,,,,,,35,,,,,,,,,,,
,,,,,,,,,,,12,,,,,,,,,,,
,,,,,,,,,,,35,,,,,,,,,,,
,,,,,,,,,,,33,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,4,,,,,,,,,,,
,,,,,,,,,,,26,,,,,,,,,,,
,,,,,,,,,,,35,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,8,,,,,,,,,,,
,,,,,,,,,,,12,,,,,,,,,,,
,,,,,,,,,,,4,,,,,,,,,,,
,,,,,,,,,,,34,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,29,,,,,,,,,,,
,,,,,,,,,,,36,,,,,,,,,,,
,,,,,,,,,,,6,,,,,,,,,,,
,,,,,,,,,,,12,,,,,,,,,,,
,,,,,,,,,,,27,,,,,,,,,,,
,,,,,,,,,,,32,,,,,,,,,,,
,,,,,,,,,,,36,,,,,,,,,,,
,,,,,,,,,,,8,,,,,,,,,,,
,,,,,,,,,,,13,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,24,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,18,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,33,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,34,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,35,,,,,,,,,,,
,,,,,,,,,,,29,,,,,,,,,,,
,,,,,,,,,,,37,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,19,,,,,,,,,,,
,,,,,,,,,,,8,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,24,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,24,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,7,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,26,,,,,,,,,,,
,,,,,,,,,,,21,,,,,,,,,,,
,,,,,,,,,,,29,,,,,,,,,,,
,,,,,,,,,,,2,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,12,,,,,,,,,,,
,,,,,,,,,,,34,,,,,,,,,,,
,,,,,,,,,,,16,,,,,,,,,,,
,,,,,,,,,,,26,,,,,,,,,,,
,,,,,,,,,,,18,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,26,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,33,,,,,,,,,,,
,,,,,,,,,,,12,,,,,,,,,,,
,,,,,,,,,,,29,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,32,,,,,,,,,,,
,,,,,,,,,,,7,,,,,,,,,,,
,,,,,,,,,,,37,,,,,,,,,,,
,,,,,,,,,,,18,,,,,,,,,,,
,,,,,,,,,,,12,,,,,,,,,,,
,,,,,,,,,,,12,,,,,,,,,,,
,,,,,,,,,,,35,,,,,,,,,,,
,,,,,,,,,,,37,,,,,,,,,,,
,,,,,,,,,,,26,,,,,,,,,,,
,,,,,,,,,,,16,,,,,,,,,,,
,,,,,,,,,,,33,,,,,,,,,,,
,,,,,,,,,,,8,,,,,,,,,,,
,,,,,,,,,,,24,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,12,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,35,,,,,,,,,,,
,,,,,,,,,,,27,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,11,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,18,,,,,,,,,,,
,,,,,,,,,,,24,,,,,,,,,,,
,,,,,,,,,,,13,,,,,,,,,,,
,,,,,,,,,,,34,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,15,,,,,,,,,,,
,,,,,,,,,,,26,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,32,,,,,,,,,,,
,,,,,,,,,,,12,,,,,,,,,,,
,,,,,,,,,,,35,,,,,,,,,,,
,,,,,,,,,,,28,,,,,,,,,,,
,,,,,,,,,,,20,,,,,,,,,,,
,,,,,,,,,,,26,,,,,,,,,,,
,,,,,,,,,,,33,,,,,,,,,,,
,,,,,,,,,,,37,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,30,,,,,,,,,,,
,,,,,,,,,,,23,,,,,,,,,,,
,,,,,,,,,,,29,,,,,,,,,,,
,,,,,,,,,,,6,,,,,,,,,,,
,,,,,,,,,,,33,,,,,,,,,,,
,,,,,,,,,,,27,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,22,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,19,,,,,,,,,,,
,,,,,,,,,,,5,,,,,,,,,,,
,,,,,,,,,,,35,,,,,,,,,,,
,,,,,,,,,,,29,,,,,,,,,,,
,,,,,,,,,,,8,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,24,,,,,,,,,,,
,,,,,,,,,,,11,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,32,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,24,,,,,,,,,,,
,,,,,,,,,,,10,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,7,,,,,,,,,,,
,,,,,,,,,,,26,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,24,,,,,,,,,,,
,,,,,,,,,,,21,,,,,,,,,,,
,,,,,,,,,,,29,,,,,,,,,,,
,,,,,,,,,,,26,,,,,,,,,,,
,,,,,,,,,,,28,,,,,,,,,,,
,,,,,,,,,,,19,,,,,,,,,,,
,,,,,,,,,,,6,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,35,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,2,,,,,,,,,,,
,,,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,33,,,,,,,,,,,
,,,,,,,,,,,26,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,31,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,12,,,,,,,,,,,
,,,,,,,,,,,6,,,,,,,,,,,
,,,,,,,,,,,35,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,33,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,13,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,33,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,35,,,,,,,,,,,
,,,,,,,,,,,16,,,,,,,,,,,
,,,,,,,,,,,36,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,34,,,,,,,,,,,
,,,,,,,,,,,35,,,,,,,,,,,
,,,,,,,,,,,26,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,8,,,,,,,,,,,
,,,,,,,,,,,18,,,,,,,,,,,
,,,,,,,,,,,35,,,,,,,,,,,
,,,,,,,,,,,33,,,,,,,,,,,
,,,,,,,,,,,6,,,,,,,,,,,
,,,,,,,,,,,22,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,29,,,,,,,,,,,
,,,,,,,,,,,26,,,,,,,,,,,
,,,,,,,,,,,35,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,12,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,15,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,5,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,33,,,,,,,,,,,
,,,,,,,,,,,14,,,,,,,,,,,
,,,,,,,,,,,12,,,,,,,,,,,
,,,,,,,,,,,26,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,29,,,,,,,,,,,
,,,,,,,,,,,12,,,,,,,,,,,
,,,,,,,,,,,4,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,32,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,26,,,,,,,,,,,
,,,,,,,,,,,4,,,,,,,,,,,
,,,,,,,,,,,37,,,,,,,,,,,
,,,,,,,,,,,17,,,,,,,,,,,
